nome_usuario,dist_km,media_consumo_km_l,cluster_consumo
CHEVROLET_EQUINOX_2022,2.0442771655822405,8.3434452583190883,0
CHEVROLET_SILVERADO_1500,209.6731688062973,7.1424142848285696,0
CHRYSLER_PACIFICA_HYBRID_2019,1468.6720609927536,7.6525867337448964,0
CHRYSLER_PACIFICA_HYBRID_2019,94.3615230753208,7.6525867337448964,0
FORD_EXPLORER,43.28365983313374,7.3160146320292643,0
FORD_MUSTANG,265.57462505808274,8.8004747438066309,0
HONDA_CIVIC_2022,361.0286540807355,12.1591100325057804,0
HONDA_CIVIC_2022,4523.01594685979,12.1591100325057804,1
HONDA_PILOT_2017,516.5259961743034,7.8120156240312479,0
HYUNDAI_IONIQ_PHEV_2020,183.71308642104046,23.9143335429528018,2
HYUNDAI_IONIQ_PHEV_2020,2.0442771655822405,23.9143335429528018,2
HYUNDAI_IONIQ_PHEV_2020,2.7100795919259335,23.9143335429528018,2
HYUNDAI_KONA_ELECTRIC_2019,175.5587777382956,12.2228815886203211,0
HYUNDAI_KONA_ELECTRIC_2019,243.91436871213963,12.2228815886203211,0
HYUNDAI_KONA_ELECTRIC_2019,246.89645741371535,12.2228815886203211,0
HYUNDAI_SANTA_FE_HYBRID_2022,6.270563051716165,8.5560171120342240,0
HYUNDAI_SONATA_2020,24.402278435341564,8.8429891145496581,0
LEXUS_ES_2016,113.67175638538372,8.8855034852926848,0
LEXUS_RX_2016,9.986484354018001,8.0777304411751679,0
LEXUS_RX_2020,345.2710633925647,8.0777304411751679,0
LEXUS_RX_2020,5.720643878257231,8.0777304411751679,0
LEXUS_RX_2020,6382.95263299214,8.0777304411751679,1
TOYOTA_CAMRY_HYBRID_2021,3.1774959348470255,9.0874467463220640,0
TOYOTA_CAMRY_HYBRID_2021,404.05308988820195,9.0874467463220640,0
TOYOTA_COROLLA_TSS2_2019,341.33409963131953,11.1865938017590331,0
TOYOTA_PRIUS_2017,14.361472485940507,18.4937512732168310,2
TOYOTA_PRIUS_2017,175.5587777382956,18.4937512732168310,2
TOYOTA_PRIUS_2017,388.9168656090759,18.4937512732168310,2
TOYOTA_PRIUS_2017-20,1.4844126281285743,18.4937512732168310,2
TOYOTA_PRIUS_v_2017,144.6559613013629,18.4937512732168310,2
TOYOTA_RAV4_HYBRID_2019,2.6797786191322004,9.6011620594669758,0
VOLKSWAGEN_ATLAS_CROSS_SPORT,905.6992900029883,8.9280178560357125,0
VOLKSWAGEN_GOLF_7TH_GEN,3.1774959348470255,9.9554484823255364,0
VOLKSWAGEN_TIGUAN_2022,125.04672731129945,9.0874467463220639,0
