latitude,longitude,elevacao,time_point
39.7414163678516,-105.28274602263222,1837.0420000000001,2023-08-19 19:19:21.499000+00:00
39.74142285218252,-105.28276641969416,1837.0910000000001,2023-08-19 19:19:21.599000+00:00
39.74142942848524,-105.28278707765931,1837.116,2023-08-19 19:19:21.699000+00:00
39.74143594297067,-105.28280755865721,1837.141,2023-08-19 19:19:21.799000+00:00
39.74144248974944,-105.28282818554415,1837.185,2023-08-19 19:19:21.899000+00:00
39.74144917351116,-105.28284908289838,1837.231,2023-08-19 19:19:21.999000+00:00
39.74145588679526,-105.28287010308675,1837.275,2023-08-19 19:19:22.099000+00:00
39.74146579446943,-105.28290090947733,1837.284,2023-08-19 19:19:22.199000+00:00
39.74146914524924,-105.2829114383905,1837.284,2023-08-19 19:19:22.299000+00:00
39.74147571854093,-105.28293193938184,1837.377,2023-08-19 19:19:22.399000+00:00
39.7414822169642,-105.2829524465299,1837.346,2023-08-19 19:19:22.499000+00:00
39.74148882466018,-105.28297321115197,1837.404,2023-08-19 19:19:22.599000+00:00
39.741495537906445,-105.28299397984728,1837.41,2023-08-19 19:19:22.699000+00:00
39.741502287216626,-105.28301490657748,1837.472,2023-08-19 19:19:22.799000+00:00
39.741512305204154,-105.28304547220972,1837.364,2023-08-19 19:19:22.899000+00:00
39.741515660356875,-105.28305578483678,1837.502,2023-08-19 19:19:22.999000+00:00
39.74152240923677,-105.28307631902166,1837.405,2023-08-19 19:19:23.099000+00:00
39.74152932222564,-105.2830972970085,1837.517,2023-08-19 19:19:23.199000+00:00
39.741535983884,-105.28311763971605,1837.525,2023-08-19 19:19:23.299000+00:00
39.74154282103469,-105.28313846821996,1837.5610000000001,2023-08-19 19:19:23.399000+00:00
39.74154955217521,-105.28315897787004,1837.576,2023-08-19 19:19:23.499000+00:00
39.74155630790579,-105.28317951606257,1837.662,2023-08-19 19:19:23.599000+00:00
39.741562964862794,-105.28319975512332,1837.6860000000001,2023-08-19 19:19:23.699000+00:00
39.74156968367389,-105.28322021706127,1837.695,2023-08-19 19:19:23.799000+00:00
39.741576429106786,-105.28324075470665,1837.76,2023-08-19 19:19:23.899000+00:00
39.741583127009186,-105.2832610685207,1837.858,2023-08-19 19:19:23.999000+00:00
39.74158995378434,-105.2832815128937,1837.941,2023-08-19 19:19:24.099000+00:00
39.74159671195252,-105.28330184283362,1838.0610000000001,2023-08-19 19:19:24.199000+00:00
39.74160340476282,-105.28332206146015,1838.185,2023-08-19 19:19:24.299000+00:00
39.74161002622535,-105.28334229184024,1838.307,2023-08-19 19:19:24.399000+00:00
39.74161670528252,-105.28336270957365,1838.3590000000002,2023-08-19 19:19:24.499000+00:00
39.7416233994043,-105.28338288027093,1838.397,2023-08-19 19:19:24.599000+00:00
39.74163022350091,-105.2834038072532,1838.5610000000001,2023-08-19 19:19:24.699000+00:00
39.74163676676735,-105.2834235428246,1838.608,2023-08-19 19:19:24.799000+00:00
39.741643348866575,-105.28344379566316,1838.6190000000001,2023-08-19 19:19:24.899000+00:00
39.74165319569777,-105.2834738725266,1838.605,2023-08-19 19:19:24.999000+00:00
39.74165655876706,-105.28348414501875,1838.712,2023-08-19 19:19:25.099000+00:00
39.74166321626186,-105.28350480238383,1838.781,2023-08-19 19:19:25.199000+00:00
39.74166970068367,-105.28352502661208,1838.838,2023-08-19 19:19:25.299000+00:00
39.741676225951856,-105.28354538798524,1838.895,2023-08-19 19:19:25.399000+00:00
39.74168269842864,-105.28356572451588,1838.934,2023-08-19 19:19:25.499000+00:00
39.741689242879005,-105.28358608707362,1839.047,2023-08-19 19:19:25.599000+00:00
39.741695840438716,-105.28360663595392,1839.141,2023-08-19 19:19:25.699000+00:00
39.74170237276743,-105.28362719899442,1839.146,2023-08-19 19:19:25.799000+00:00
39.74170891600083,-105.28364774915232,1839.243,2023-08-19 19:19:25.899000+00:00
39.741715384130636,-105.28366807615686,1839.3310000000001,2023-08-19 19:19:25.999000+00:00
39.741721910672425,-105.28368866101826,1839.394,2023-08-19 19:19:26.099000+00:00
39.74172835149583,-105.28370912089463,1839.467,2023-08-19 19:19:26.199000+00:00
39.741734817027336,-105.28372968282974,1839.528,2023-08-19 19:19:26.299000+00:00
39.74174129796542,-105.28375044611337,1839.608,2023-08-19 19:19:26.399000+00:00
39.74174764374244,-105.28377093630206,1839.6770000000001,2023-08-19 19:19:26.499000+00:00
