latitude,longitude,elevacao,time_point
47.24594698457771,-119.84832664631423,387.808,2023-08-22 21:59:09.999000+00:00
47.24593511169682,-119.84832656552271,387.71500000000003,2023-08-22 21:59:10.099000+00:00
47.24592350696483,-119.848326532356,387.629,2023-08-22 21:59:10.199000+00:00
47.24591181618821,-119.84832652890437,387.619,2023-08-22 21:59:10.299000+00:00
47.24590031562128,-119.84832646227642,387.63,2023-08-22 21:59:10.399000+00:00
47.24588850120415,-119.84832634924405,387.645,2023-08-22 21:59:10.499000+00:00
47.24587677038345,-119.84832621704865,387.665,2023-08-22 21:59:10.599000+00:00
47.2458650219579,-119.84832606443189,387.721,2023-08-22 21:59:10.699000+00:00
47.24585325989609,-119.84832593375106,387.693,2023-08-22 21:59:10.799000+00:00
47.24584139289041,-119.84832587727719,387.58,2023-08-22 21:59:10.899000+00:00
47.2458297305831,-119.8483258065211,387.498,2023-08-22 21:59:10.999000+00:00
47.24581805879419,-119.84832573990533,387.503,2023-08-22 21:59:11.099000+00:00
47.24580629723146,-119.84832570978884,387.512,2023-08-22 21:59:11.199000+00:00
47.2457945854371,-119.84832572726266,387.503,2023-08-22 21:59:11.299000+00:00
47.245782948291854,-119.84832572438087,387.51,2023-08-22 21:59:11.399000+00:00
47.24577146050741,-119.84832580977191,387.452,2023-08-22 21:59:11.499000+00:00
47.2457598482702,-119.84832590130054,387.414,2023-08-22 21:59:11.599000+00:00
47.245748070360115,-119.84832594705543,387.467,2023-08-22 21:59:11.699000+00:00
47.24573638222946,-119.84832597339886,387.53000000000003,2023-08-22 21:59:11.799000+00:00
47.24572451982315,-119.84832601852067,387.53700000000003,2023-08-22 21:59:11.899000+00:00
47.24571279004764,-119.8483259895115,387.524,2023-08-22 21:59:11.999000+00:00
47.24570119067137,-119.84832598716247,387.54900000000004,2023-08-22 21:59:12.099000+00:00
47.24568960976546,-119.84832601235951,387.514,2023-08-22 21:59:12.199000+00:00
47.245677982566605,-119.84832604917098,387.482,2023-08-22 21:59:12.299000+00:00
47.24566648896326,-119.84832607949735,387.493,2023-08-22 21:59:12.399000+00:00
47.245654962260424,-119.84832608228031,387.493,2023-08-22 21:59:12.399000+00:00
47.24564348648882,-119.84832612932054,387.493,2023-08-22 21:59:12.599000+00:00
47.24563196730957,-119.84832618870647,387.475,2023-08-22 21:59:12.699000+00:00
47.245620198349606,-119.84832626510017,387.44800000000004,2023-08-22 21:59:12.799000+00:00
47.24560841753594,-119.84832631791433,387.431,2023-08-22 21:59:12.899000+00:00
47.24559671979423,-119.84832635747657,387.404,2023-08-22 21:59:12.999000+00:00
47.2455849811159,-119.84832643368895,387.366,2023-08-22 21:59:13.099000+00:00
47.245573323850785,-119.84832648222074,387.358,2023-08-22 21:59:13.199000+00:00
47.24556152027559,-119.84832652330141,387.36400000000003,2023-08-22 21:59:13.299000+00:00
47.245549821312785,-119.84832657432749,387.362,2023-08-22 21:59:13.399000+00:00
47.245538109663876,-119.84832665329928,387.383,2023-08-22 21:59:13.499000+00:00
47.24552620911334,-119.84832669637338,387.363,2023-08-22 21:59:13.599000+00:00
47.24551447994989,-119.84832677957475,387.337,2023-08-22 21:59:13.699000+00:00
47.245502816116456,-119.84832680579999,387.273,2023-08-22 21:59:13.799000+00:00
47.24549077487019,-119.84832683403896,387.27,2023-08-22 21:59:13.899000+00:00
