class;drive;fuel_type;make;model;transmission;year;cylinders;displacement;city_km/l;highway_km/l
sport utility vehicle;fwd;gas;toyota;highlander 2wd;a;2001;6.0;3.0;7.227443026314624;8.928017856035712
sport utility vehicle;awd;gas;toyota;highlander 4wd;a;2001;4.0;2.4;7.227443026314624;9.353161563465985
sport utility vehicle;awd;gas;toyota;highlander 4wd;a;2001;6.0;3.0;6.802299318884352;8.928017856035712
sport utility vehicle;fwd;gas;toyota;highlander 2wd;a;2002;4.0;2.4;8.077730441175168;10.628592685756802
compact car;fwd;gas;toyota;prius;a;2001;4.0;1.5;17.856035712071424;17.43089200464115
compact car;fwd;gas;toyota;prius;a;2002;4.0;1.5;17.856035712071424;17.43089200464115
compact car;fwd;gas;toyota;prius;a;2003;4.0;1.5;17.856035712071424;17.43089200464115
midsize car;fwd;gas;toyota;prius;a;2004;4.0;1.5;20.406897956653058;19.13146683436224
midsize car;fwd;gas;toyota;prius;a;2005;4.0;1.5;20.406897956653058;19.13146683436224
special purpose vehicle;fwd;gas;toyota;rav4 2wd;a;1996;4.0;2.0;8.928017856035712;11.053736393187073
special purpose vehicle;fwd;gas;toyota;rav4 2wd;m;1996;4.0;2.0;8.928017856035712;11.478880100617346
special purpose vehicle;awd;gas;toyota;rav4 4wd;a;1996;4.0;2.0;8.077730441175168;10.203448978326529
special purpose vehicle;awd;gas;toyota;rav4 4wd;m;1996;4.0;2.0;8.077730441175168;10.203448978326529
special purpose vehicle;fwd;gas;toyota;rav4 2wd;a;1997;4.0;2.0;8.928017856035712;11.053736393187073
compact car;fwd;gas;volkswagen;golf iii / gti;a;1993;4.0;2.0;7.652586733744897;11.053736393187073
compact car;fwd;gas;volkswagen;golf iii / gti;m;1993;4.0;2.0;8.928017856035712;12.32916751547789
compact car;fwd;gas;volkswagen;golf iii;a;1994;4.0;2.0;7.652586733744897;11.053736393187073
compact car;fwd;gas;volkswagen;golf iii;m;1994;4.0;2.0;8.928017856035712;12.32916751547789
compact car;fwd;gas;volkswagen;golf iii;a;1995;4.0;2.0;8.502874148605441;11.053736393187073
