NOME_PRODUTO;VALOR;LINK_PRODUTO
Canivete Butterfly Faca Borboleta Tatico Militar Knife Adaga;R$ 58,07;https://produto.mercadolivre.com.br/MLB-2680076742-canivete-butterfly-faca-borboleta-tatico-militar-knife-adaga-_JM#position=18&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Pente Butterfly Treino - Faca Canivete Balisong;R$ 22,99;https://produto.mercadolivre.com.br/MLB-3382194179-pente-butterfly-treino-faca-canivete-balisong-_JM#position=21&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Faca Canivete Butterfly Borboleta Gold Dourado Aço P/ Treino;R$ 39,99;https://produto.mercadolivre.com.br/MLB-897219727-faca-canivete-butterfly-borboleta-gold-dourado-aco-p-treino-_JM#position=22&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Faca Butterfly Canivete Sem Corte Treino Manobras Resistente;R$ 28,99;https://www.mercadolivre.com.br/faca-butterfly-canivete-sem-corte-treino-manobras-resistente/p/MLB22616444?pdp_filters=category:MLB277644#searchVariation=MLB22616444&position=5&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Faca Butterfly Canivete Tático Manobras Resistente Luxo;R$ 49,99;https://produto.mercadolivre.com.br/MLB-1901133999-faca-butterfly-canivete-tatico-manobras-resistente-luxo-_JM#position=23&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Faca Butterfly Borboleta Cs Go Afiado Cabo Vazado;R$ 28,21;https://www.mercadolivre.com.br/canivete-faca-butterfly-borboleta-cs-go-afiado-cabo-vazado/p/MLB22603862?pdp_filters=category:MLB277644#searchVariation=MLB22603862&position=6&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Borboleta Inox Faca Sem Fio Para Treinamentos;R$ 39,90;https://produto.mercadolivre.com.br/MLB-3360116164-canivete-borboleta-inox-faca-sem-fio-para-treinamentos-_JM#position=24&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Zebu 301 Aço Inox Alumínio Grande, Presilha E Trava;R$ 78,90;https://produto.mercadolivre.com.br/MLB-2021457219-canivete-zebu-301-aco-inox-aluminio-grande-presilha-e-trava-_JM#position=25&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Tático Muito Afiado Retrátil Automático Militar;R$ 39,51;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mN59OFgA8UC1tEmHs5GX7Yr9GCg6A%2FGlFrdKn0peAAV0VO5KhvFpNIt48nPAl6gjhon%2BEmC%2Bn3TPaMXvy4%2FjvC2q6s2dyxC6x6YprGBsYlgUV1YjoU2IZytXz92SaO07de0ylCe9XZWQ6KcypChLT5%2FhrwImfUZf7GKJnSBL2zDxJ3KAKM5o0%2F7jsFwRj%2FBFY5oeCUoqYwtIS3JKk0zKatkA7uXv7YR7c1xTI4GEg5B766zb3FU9vPOOAuKSK3jlmzlEhSTUmBsVfdtQ1p3JnjQtHWSJwieeju5c4dwjyaL%2BC4vRhue7M1z7%2FLfVMYTiZmLtOJbhbqZS%2BCm4TsRYDAXKwi8z95OOYfwXzTHNk70G%2FodsWU%2B5MZsZhXJLuvaPjERBYeElgVWgVXqjN6cOGNvq1S7o7dQrdAphO9AV2I%2FOVcZbaGn18D%2BK38OrUg9e8nU0LSQ6ljMthCkOgPR%2FXHg1ihflui%2FUQCcpNidq6qpW304A8WMC82wlyMoFFFHJKpvLtQNS3hvpY3r4IPJP%2BZ%2F%2F9biHxmuSDtox7frOm28S7eKM9JpOki%2BHzJodPydNQTPoDTZ3ZO4lPlkQXVBRT1tVqH90mz%2BMzY22PRN6Z5g%2BOdt39rONdUZgiFBLIu5JlkE8RiFYVVgA38mgoh5deqSbv4ZTegvUPMNdmt01jdr5Gg5DLE2PysQ1A7WtNpW4SLpmu37EqbGiziyf8Q%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fbuybox-layout%2B24609%2Cmclics%2Fshow-pads-global%2B5176&rb=x
Kit C/10 Canivete Faca Butterfly Borboleta Afiado Cs Go;R$ 204,99;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Jp4LQsIjpa2iiPh0XWE5MNOymTjrdJnAf5cnNHthNrV%2FjPRSgtCkH7obqYmQxXng941lJLkjcN0VaLRFwYiDT4NxlikY7StZOlH0kkvFt1znR5JfL7z1j3L6szTbKCTV7hSLefUPBwNgl11m9QqlwasuEYF5S%2Ff2hG6pBc5mYNzwVzfB4LQgQ0sMrMKIEFaPzoXkWJcj1Z94bsuRxF3iLdiZE%2Fai7WVXgsh%2F0qbVTIcM5ta05jMnfX%2FSf9LVc0E6YWpOdThHJHgTUvlbRaZxmX2HiehTVnn7pSP5JgCXPUiIWXJohg%2F0l5tR2BRQ9DrTKst9cedDTXx6USUhwstXtf7Wp3KZhOlCsqfZoGEEb4ErfvJXPx8SQ8%2FYmbhQhXHePAQYVRZnLTdyZK64YtZqaQ9LRTqwTZW09d3EYzTtIpGGN%2F9xR5qSBGqTvWduuAX6a3SAnfSgx9uy%2BRj8ubywb4aYFCFG1FdAJxjZUaBG0VHqFG3l73YtpscBdWLWCBYg5jArGmTgISloaam%2FWGGHM9Jn29k2FR40ez4n7rqiGaIHkg44kfVTkQXpfNjSDeukCpohixX0pxxGzmn5rXK2fXUQrMsBw%2B9zbhD9XpWNO%2FB8ptT7RAw3ZGLTyvOJA7rYhujEoqtQjYo7wxe22tBGxAD2Iky2pQVI8x0ltWnoXWi69ebjgBIY98Mm4HGKsJMdRACgZepyiilkuvk%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fbuybox-layout%2B24609%2Cmclics%2Fshow-pads-global%2B5176&rb=x
