nome_usuario,dist_km,media_consumo_km_l,cluster_consumo
CHRYSLER_PACIFICA_HYBRID_2019,0.07057000473,7.652586733744897,0
CHRYSLER_PACIFICA_HYBRID_2019,4.267241883810001,7.652586733744897,0
HONDA_ACCORD_2018,0.47093398894,9.813733913182112,0
HONDA_ACCORD_2018,2.27195380037,9.813733913182112,0
HONDA_ACCORD_2018,2.65684687312,9.813733913182112,0
HONDA_ACCORD_2018,2.67600431235,9.813733913182112,0
HONDA_ACCORD_2018,7.3506522708599995,9.813733913182112,0
HONDA_ACCORD_2018,7.74221889996,9.813733913182112,1
HONDA_ACCORD_HYBRID_2018,1.5349901938400001,9.813733913182112,0
HONDA_CIVIC_2016,0.06941604475,12.15911003250578,0
HONDA_CIVIC_2016,1.4791828066600001,12.15911003250578,0
HONDA_CIVIC_2022,0.00482450711,12.15911003250578,0
HONDA_CIVIC_2022,0.012359627659999999,12.15911003250578,0
HONDA_CIVIC_2022,0.018950162500000003,12.15911003250578,0
HONDA_CIVIC_2022,0.12127223946,12.15911003250578,0
HONDA_CIVIC_2022,3.1020106584800002,12.15911003250578,0
HONDA_CIVIC_2022,5.63767705533,12.15911003250578,0
HONDA_CIVIC_2022,5.7591719801500005,12.15911003250578,0
HONDA_CIVIC_2022,6.59187561312,12.15911003250578,0
HONDA_PILOT_2017,0.0015502896900000001,7.812015624031249,0
HONDA_PILOT_2017,1.96945836325,7.812015624031249,0
HONDA_PILOT_2017,4.8625419575899995,7.812015624031249,0
HONDA_PILOT_2017,6.56704006243,7.812015624031249,0
HONDA_PILOT_2017,13.71869702525,7.812015624031249,1
HONDA_PILOT_2017,15.21309143957,7.812015624031249,1
HONDA_PILOT_2017,17.873483351759997,7.812015624031249,1
HYUNDAI_IONIQ_5_2022,0.77225902906,23.914333542952804,2
HYUNDAI_IONIQ_5_2022,3.3501324926500002,23.914333542952804,2
HYUNDAI_IONIQ_5_2022,7.24798421159,23.914333542952804,2
HYUNDAI_IONIQ_PHEV_2020,0.00096495198,23.914333542952804,2
HYUNDAI_KONA_ELECTRIC_2019,0.005212339,12.222881588620321,0
HYUNDAI_KONA_ELECTRIC_2019,0.03140386952,12.222881588620321,0
HYUNDAI_PALISADE_2020,0.00045923389999999995,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.00069963268,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.00111214893,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.0012904894499999999,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.00149172744,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.00314579024,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.0068691566599999995,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.01049145644,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.01309079126,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.01555698417,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.018582385160000003,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.03302194612,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.035616119169999995,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.06922021111,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.14622540959,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.16950234717999998,9.353161563465985,0
HYUNDAI_PALISADE_2020,0.19470808269,9.353161563465985,0
HYUNDAI_PALISADE_2020,1.1505526638599999,9.353161563465985,0
HYUNDAI_PALISADE_2020,2.10430254813,9.353161563465985,0
HYUNDAI_PALISADE_2020,2.9851747947300002,9.353161563465985,0
HYUNDAI_PALISADE_2020,5.35940271487,9.353161563465985,0
HYUNDAI_PALISADE_2020,6.05970763956,9.353161563465985,0
HYUNDAI_PALISADE_2020,7.08758407968,9.353161563465985,0
HYUNDAI_PALISADE_2020,8.65168214617,9.353161563465985,1
HYUNDAI_PALISADE_2020,10.20865498845,9.353161563465985,1
HYUNDAI_PALISADE_2020,10.77459013232,9.353161563465985,1
HYUNDAI_PALISADE_2020,11.21423234932,9.353161563465985,1
HYUNDAI_PALISADE_2020,11.49879321071,9.353161563465985,1
HYUNDAI_PALISADE_2020,11.571056382110001,9.353161563465985,1
HYUNDAI_PALISADE_2020,12.46685237411,9.353161563465985,1
HYUNDAI_PALISADE_2020,12.67876942347,9.353161563465985,1
HYUNDAI_PALISADE_2020,13.17805197873,9.353161563465985,1
HYUNDAI_SANTA_FE_2019,1.12076583869,8.556017112034224,0
HYUNDAI_SANTA_FE_HYBRID_2022,0.06720994709,8.556017112034224,0
HYUNDAI_SANTA_FE_HYBRID_2022,0.09342522103,8.556017112034224,0
HYUNDAI_SANTA_FE_HYBRID_2022,0.4706821283,8.556017112034224,0
HYUNDAI_SANTA_FE_HYBRID_2022,2.8153651595,8.556017112034224,0
HYUNDAI_SANTA_FE_HYBRID_2022,3.08837442061,8.556017112034224,0
HYUNDAI_SANTA_FE_HYBRID_2022,4.102773168210001,8.556017112034224,0
HYUNDAI_SANTA_FE_HYBRID_2022,4.57365990841,8.556017112034224,0
HYUNDAI_SANTA_FE_HYBRID_2022,6.51993802707,8.556017112034224,0
HYUNDAI_SONATA_2020,14.944647613679999,8.842989114549658,1
KIA_NIRO_EV_2020,5.6189419999999996e-05,20.12346881836621,2
KIA_NIRO_EV_2020,0.00290975662,20.12346881836621,2
KIA_NIRO_EV_2020,0.06669094931,20.12346881836621,2
KIA_NIRO_EV_2020,0.98394409495,20.12346881836621,2
KIA_NIRO_EV_2020,1.7099201295400002,20.12346881836621,2
